step,reward
0,-121.67064746008313
1,-118.54328474303041
2,-131.42949545780675
3,-129.86679468508117
4,-121.0322445260906
5,-117.92707398741916
6,-122.37106268802212
7,-174.1021163849752
8,-147.78587058309444
9,-227.8827148340239
10,-122.85064686713541
11,-302.93616175663715
12,-126.47278534634859
13,-184.36667881249684
14,-381.06740931058636
15,-118.5435099335216
16,-282.3283426873865
17,-104.3942074751116
18,-208.52646695006527
19,2.4013164412045853
20,-275.6814213226259
21,-327.100417176425
22,-252.03702809179072
23,-166.46149808095845
24,-276.2492947956878
25,-232.0707593658717
26,-247.49541282541207
27,-140.69784804663374
28,-75.80100043510552
29,-337.7704176349482
30,-290.6688358839641
31,-160.58147592633273
32,-260.02107405690333
33,-154.83759117099416
34,-261.71659282160476
35,-105.59049269292909
36,-88.43517604188129
37,-176.33521732173602
38,-92.39701952640499
39,-131.23125619456738
40,-582.3849026006222
41,-114.56031272088616
42,-329.2746651352806
43,-96.01339973544233
44,-376.5446709244431
45,-126.13565021114967
46,-49.0471135127909
47,-154.95887406567084
48,-229.64127836953912
49,-125.360202963901
50,-128.97875645786735
51,-94.37518078425065
52,-194.3999416415922
53,-72.99007690082112
54,-207.4170440617017
55,-51.44216178589244
56,-198.19459145406245
57,-119.73067410575382
58,-90.67336934195608
59,-100.98107629390064
60,-221.16640713457627
61,-106.37766030193059
62,-84.82530863408749
63,-97.00056999281668
64,-110.79720271195974
65,-340.67605644725654
66,-109.14512991606144
67,-135.4880537882888
68,-100.64920280481222
69,-206.30428581203893
70,-165.29459600745804
71,-168.5675175853459
72,-91.48475455340265
73,-4.832718511823202
74,-111.14610356931249
75,-124.35923588632048
76,-110.8380736690352
77,-391.84208502697754
78,-145.73062476910314
79,-94.71709987842796
80,-333.16618305638724
81,-332.75093321434963
82,-135.62981519874194
83,-105.77333238323168
84,-175.1925773718603
85,-71.62664055086032
86,-128.17978460362067
87,-69.98954609434281
88,-79.55390044159574
89,-27.64520060594178
90,-38.78310378418705
91,-171.01527041323612
92,-98.09556412029995
93,-123.70178508396495
94,-126.88231599764454
95,-323.5283650066157
96,-137.50643937109157
97,-203.0046422210888
98,-201.4487191969771
99,-177.21042188763838
100,-210.24981536968107
101,4.445340790001197
102,-77.78287682730424
103,-157.58052684771928
104,-113.8612789411411
105,-90.73045583917538
106,-91.76556498422217
107,-113.15766546664744
108,-106.5962668512491
109,-86.85754367322787
110,-300.094660856039
111,-78.52778792693348
112,-99.25700109621938
113,-229.5391256532752
114,-293.4804948018228
115,-155.42417571700722
116,-137.21672587252988
117,-168.16382818939067
118,-102.97906116489767
119,-81.23158344016787
120,-92.2432773952264
121,-127.45261786513872
122,-110.11143290958566
123,-190.69560888034442
124,-343.6361488117693
125,-92.7120649273688
126,-142.44372340185123
127,-129.82343620310155
128,-143.61595295304693
129,-130.03089380480623
130,-148.4203455038238
131,-187.61306721786997
132,-154.10892251190137
133,-212.78141570056857
134,-376.3963573483792
135,-134.01573978920433
136,-62.93011426012569
137,-68.66575356130471
138,-114.53916089722168
139,-89.93795756578842
140,-111.73727705504118
141,-132.55930442169324
142,-170.8652109604921
143,-150.91056984891776
144,-230.83352889922165
145,-79.9269675569632
146,-112.3857178006856
147,-287.3829035303087
148,-99.53113184328966
149,3.116908750101743
150,-336.2313500638164
151,-275.5614618623414
152,-58.00693292769624
153,-15.071652719768622
154,7.021148258173824
155,-80.1485079080538
156,-124.71258844936747
157,-128.57782512011516
158,-106.44057214947259
159,-161.94847269186488
160,-73.28992516439871
161,-82.81222959930369
162,-136.18207453269684
163,-162.9225294960331
164,-122.98107296172327
165,-365.0478356625162
166,-301.07581132551024
167,-288.5950223251797
168,-117.6805026964981
169,-170.0542892554518
170,-122.08630523675508
171,-201.92637485448932
172,-41.410819950122146
173,-47.52554300840393
174,-49.807814484751724
175,-59.098382508363215
176,-64.9033137811102
177,-174.4141205742403
178,-106.53032155060168
179,-77.92867252816052
180,-164.27003443478213
181,-129.83327061152033
182,-96.81684044396621
183,-199.48202516215824
184,-99.66500331841472
185,-157.93307011551292
186,-215.2313001261213
187,-100.74850045633853
188,-101.68729207561864
189,-52.34567366841671
190,-87.0787964401563
191,-138.64084592863736
192,-44.00630854980888
193,-108.80017573152922
194,-110.36204793871362
195,-110.73482331664592
196,-87.29350593658472
197,-87.22439921681074
198,-87.31604217537532
199,-111.21514409727494
200,-74.32769396644824
201,-279.4631685020231
202,-172.4939454780826
203,-121.70105929212019
204,-134.5645945762215
205,-79.76062536437746
206,-350.809086805794
207,-107.37448495955252
208,-249.65179556783545
209,-20.098513783912566
210,-163.91811571170797
211,-151.7736095214123
212,-75.24342748295581
213,-115.34880282941943
214,-88.59023000193032
215,-122.88137419630867
216,-132.08413322684214
217,-62.1017864271897
218,-134.2854582513244
219,-251.38866608511037
220,-109.53947790956512
221,-168.6421659581914
222,-182.26511514077146
223,-102.39334793780051
224,-191.1193134562758
225,-147.8265166532754
226,-96.08521206488794
227,-101.52484182367786
228,-80.54170046614288
229,-117.21739524414154
230,-169.13809204977167
231,-77.19350483419011
232,-42.95329265202818
233,-93.71900407080008
234,-98.15486137689074
235,-258.5536820393675
236,-19.964358423641855
237,-56.939510575474664
238,-41.60585783805002
239,-92.54405993603532
240,-103.11361408067383
241,-75.57419080092117
242,-110.63423825875445
243,-88.57287070969205
244,-10.212910306125352
245,-65.74007729683655
246,-191.79845359250209
247,-68.7280393735694
248,-112.75252932867996
249,-83.24574340077709
250,-127.20308881990162
251,-49.09591721580912
252,-99.25756700918524
253,-39.83505990664909
254,-143.4191272011214
255,-60.439641097651084
256,-114.18479493068713
257,-85.82505469492163
258,-83.35195179289911
259,-46.43025961030798
260,-127.84756504973382
261,-94.58830468407315
262,-96.09366598415374
263,-101.68858004113093
264,-61.78171043623942
265,-162.02071272623505
266,0.20235969531351827
267,-107.14572026179012
268,-115.79564676246935
269,-83.49332826141405
270,-67.07067221713206
271,-66.9579387890507
272,-84.54536022501406
273,-72.33654996291072
274,-98.96370796462233
275,-91.76467571042274
276,-97.5512644581304
277,-41.06492186584745
278,-158.57189257059306
279,-73.15232167103456
280,-76.9827673516475
281,-82.1576291044309
282,-140.10334353966576
283,-41.352866699973674
284,-102.1191393071476
285,-120.34022276626855
286,-48.54859862763861
287,-102.98173291208775
288,-97.43694317981398
289,-218.24578226365537
290,-128.4139806578343
291,-27.26454101965132
292,-28.333542318677615
293,-174.50677014818143
294,-93.07253822407345
295,-87.13918974734399
296,-123.41571636584818
297,-70.33603651968843
298,-79.5286690354913
299,-110.32592685574461
300,-156.03565581340965
301,-147.86697234399514
302,-74.78252250017749
303,37.79298604900853
304,-48.50400537992569
305,-94.61463594858536
306,-88.7841909728664
307,-110.8976579151448
308,-22.553786805845263
309,-75.14173327400549
310,-175.87482294932335
311,-67.24671596284577
312,-94.27108032412573
313,-203.1273589562793
314,-75.52385548020798
315,-71.66266953705681
316,-81.97150651983387
317,-90.2684551313519
318,-55.45517632472352
319,-70.60771003723778
320,-103.70239331173116
321,-68.2087447790027
322,-121.18483757893688
323,-53.894151065475185
324,-133.3581207562537
325,-130.71084886627
326,-111.15214097321896
327,-5.137186335700733
328,-52.714190481517946
329,-48.3219634437006
330,-40.700716257720636
331,-103.00877336634025
332,-149.53567601762765
333,-56.946853194446035
334,-143.29034437503853
335,-73.76437032688652
336,-99.57531263964167
337,-88.43665971240752
338,-52.333029780841045
339,-129.6736229663085
340,-70.7405122563836
341,-75.65374149232252
342,-113.74262701568681
343,-63.08831756321001
344,-69.86417976762803
345,-129.40366061717015
346,-110.38027010546377
347,-33.29067988792376
348,-55.138096208032835
349,-73.77576354308981
350,-100.89566247264457
351,-59.19206777718383
352,-82.4909628539788
353,-61.5002269199731
354,-116.83189023699647
355,-84.71324169244015
356,-78.46450061943888
357,-38.13075681824263
358,-89.22800624537786
359,-88.3743113313248
360,38.55984055296551
361,-191.24832329943104
362,-147.46697299634104
363,-83.15873235332026
364,-57.52053931913432
365,-95.97198268363182
366,-83.89785316785532
367,-44.57634797696973
368,-77.69652614708299
369,-30.578102011710968
370,-66.15065661397242
371,-26.492228464726125
372,-34.98654388695785
373,-66.06601137956977
374,-126.35551913205113
375,-78.94612296376278
376,-135.31537313057407
377,-83.00195063244212
378,-110.82779958826877
379,-92.49880469757682
380,-19.731804488804343
381,-52.759819169305125
382,-33.97234830555024
383,-82.74333505119557
384,-43.33620196535509
385,-32.63905192196859
386,-126.36382344950209
387,-106.45059480834772
388,-128.747547105653
389,-98.95481919600081
390,-84.34964600134887
391,-122.22354924210441
392,-114.38998427722585
393,-120.37338984203441
394,-97.07099042112009
395,-112.83622838212841
396,-99.8454380378817
397,-54.933185278602565
398,-98.68289811576048
399,-134.74372567629817
400,-147.34732280125957
401,-197.59385255923155
402,-108.32884362841006
403,-94.45711641982257
404,-57.97040472200602
405,-133.85530538037503
